source,filename,pages,characters,words,bert_tokens,text_file
doe,2026 DOE 202(c) Orders _ Department of Energy.pdf,18,32778,5266,7747,D:\GridBERT\text\doe\2026 DOE 202(c) Orders _ Department of Energy.txt
doe,DOE Final EO Report (REVISED OCT 27).pdf,73,121714,18497,34514,D:\GridBERT\text\doe\DOE Final EO Report (REVISED OCT 27).txt
doe,doe-emergency-order-202-26-24.pdf,11,29046,4181,7009,D:\GridBERT\text\doe\doe-emergency-order-202-26-24.txt
doe,doe-emergency-order-no-202-26-23pdf.pdf,11,23903,3400,4815,D:\GridBERT\text\doe\doe-emergency-order-no-202-26-23pdf.txt
doe,eo-14262.pdf,2,5820,887,1208,D:\GridBERT\text\doe\eo-14262.txt
doe,motion-intervene-and-request-rehearing-natural-resources-defense-council-citizens-4.pdf,130,229749,33904,56989,D:\GridBERT\text\doe\motion-intervene-and-request-rehearing-natural-resources-defense-council-citizens-4.txt
doe,national-transmission-needs-study-draft-july-2026.pdf,112,262370,35260,60215,D:\GridBERT\text\doe\national-transmission-needs-study-draft-july-2026.txt
doe,NationalTransmissionPlanningStudy-Chapter1.pdf,46,87651,11830,20115,D:\GridBERT\text\doe\NationalTransmissionPlanningStudy-Chapter1.txt
doe,NationalTransmissionPlanningStudy-Chapter2.pdf,143,240889,33577,59540,D:\GridBERT\text\doe\NationalTransmissionPlanningStudy-Chapter2.txt
doe,NationalTransmissionPlanningStudy-Chapter3.pdf,148,267249,37676,63238,D:\GridBERT\text\doe\NationalTransmissionPlanningStudy-Chapter3.txt
doe,NationalTransmissionPlanningStudy-Chapter4.pdf,70,108033,16007,25273,D:\GridBERT\text\doe\NationalTransmissionPlanningStudy-Chapter4.txt
doe,NationalTransmissionPlanningStudy-Chapter5.pdf,72,115043,16570,27688,D:\GridBERT\text\doe\NationalTransmissionPlanningStudy-Chapter5.txt
doe,NationalTransmissionPlanningStudy-Chapter6.pdf,17,27730,3818,5258,D:\GridBERT\text\doe\NationalTransmissionPlanningStudy-Chapter6.txt
doe,NationalTransmissionPlanningStudy-ExecutiveSummary.pdf,37,67852,9292,13782,D:\GridBERT\text\doe\NationalTransmissionPlanningStudy-ExecutiveSummary.txt
doe,pjms-202c-application-202-26-35.pdf,6,13275,2008,2903,D:\GridBERT\text\doe\pjms-202c-application-202-26-35.txt
ferc,23_Summer-Assessment_0517_1745.pdf,55,189284,27305,42004,D:\GridBERT\text\ferc\23_Summer-Assessment_0517_1745.txt
ferc,24_Energy-Markets-Primer_0117_DIGITAL_0.pdf,152,560893,108508,135267,D:\GridBERT\text\ferc\24_Energy-Markets-Primer_0117_DIGITAL_0.txt
ferc,24_Summer Assessment_0523_0940.pdf,52,151675,21284,34485,D:\GridBERT\text\ferc\24_Summer Assessment_0523_0940.txt
ferc,24_Winter-Storm_Elliot_0207_UPDATE.pdf,167,423049,62654,87492,D:\GridBERT\text\ferc\24_Winter-Storm_Elliot_0207_UPDATE.txt
ferc,25_Annual Assessment of Demand Response_1212.pdf,45,99076,13771,25449,D:\GridBERT\text\ferc\25_Annual Assessment of Demand Response_1212.txt
ferc,25_Arctic Storms Performance Review_0416.pdf,35,94116,13905,18451,D:\GridBERT\text\ferc\25_Arctic Storms Performance Review_0416.txt
ferc,26_State-of-the-Market_0324_1430.pdf,51,117301,17190,28476,D:\GridBERT\text\ferc\26_State-of-the-Market_0324_1430.txt
ferc,26_Summer Assessment_0529.pdf,33,69534,10075,15678,D:\GridBERT\text\ferc\26_Summer Assessment_0529.txt
ferc,A3_State of the Markets 2023_Presentation_0320_1715.pdf,10,2171,333,489,D:\GridBERT\text\ferc\A3_State of the Markets 2023_Presentation_0320_1715.txt
ferc,Interregional Transfer Capability Study_FERC.pdf,268,527186,79526,123755,D:\GridBERT\text\ferc\Interregional Transfer Capability Study_FERC.txt
ferc,Summer Assessment 2025_june 2025.pdf,49,78474,10996,17231,D:\GridBERT\text\ferc\Summer Assessment 2025_june 2025.txt
ferc,Winter Assessment 2024-2025 Long Version.pdf,37,59196,8371,13253,D:\GridBERT\text\ferc\Winter Assessment 2024-2025 Long Version.txt
ferc,Winter Assessment 2025-2026 Long Version_Clean.docx.pdf,51,84799,11786,19111,D:\GridBERT\text\ferc\Winter Assessment 2025-2026 Long Version_Clean.docx.txt
pjm,2025-annual-state-of-the-market-report-for-pjm.pdf,68,47873,7169,20531,D:\GridBERT\text\pjm\2025-annual-state-of-the-market-report-for-pjm.txt
pjm,2026-2027-bra-report.pdf,20,34593,5295,11051,D:\GridBERT\text\pjm\2026-2027-bra-report.txt
pjm,2027-2028-bra-report.pdf,20,35725,5493,11376,D:\GridBERT\text\pjm\2027-2028-bra-report.txt
pjm,2028-2029-bra-results-report.pdf,20,34552,5316,10910,D:\GridBERT\text\pjm\2028-2029-bra-results-report.txt
pjm,2029-2030-planning-period-parameters-for-base-residual-auction-report.pdf,9,14920,2358,4424,D:\GridBERT\text\pjm\2029-2030-planning-period-parameters-for-base-residual-auction-report.txt
nerc,1991-ltra.pdf,80,0,0,0,D:\GridBERT\text\nerc\ltra\1991-ltra.txt
nerc,1992-ltra.pdf,65,0,0,0,D:\GridBERT\text\nerc\ltra\1992-ltra.txt
